  18  106   28  126   110
X (abs(X) < 0.90 cm; step 0.10 cm) vs. X divergence (abs(dvrgX) < 5.3 mr; step 0.10 mr) [based on neutrons]
     0     4     3     3     2     0     3     1     3     2     2     2     1     2     3     1     0     1
     1     0     1     3     1     2     1     1     0     1     4     1     1     6     2     2     3     1
     1     2     1     1     1     1     4     1     2     4     0     2     2     1     0     2     0     2

Y (abs(Y) < 1.40 cm; step 0.10 cm) vs. Y divergence (abs(dvrgY) < 6.3 mr; step 0.10 mr) [based on neutrons]
     1     1     1     1     1     1     1     1     2     1     0     0     2     0     0     1     1     1     1     0     1     0     0     0     3     0     0     0
     0     1     0     1     0     0     0     1     1     1     2     2     1     1     0     0     2     0     2     0     0     0     0     0     0     0     0     0
     2     1     1     1     2     1     1     0     1     0     0     2     6     0     0     1     0     1     0     2     0     1     0     0     0     0     0     1
     0     0     0     3     1     2     3     1     1     0     1     3     0     0     1     0     0     0     1     0     0     0     0     0     0     0     0     0
     1     3     1     3     2     1     1     1     0     1     2     4     1     1     0     1     1     0     1     0     0     0     0     0     0     1     0     0
     0     1     0     0     4     2     0     0     1     1     2     2     2     4     1     0     1     1     1     0     0     1     0     1     0     0     0     0
     0     2     1     2     1     0     2     0     0     1     2     2     1     0     1     0     1     1     2     1     0     1     0     1     1     0     0     0
     1     1     1     0     0     2     0     1     1     1     0     1     0     1     1     1     0     0     1     1     1     0     0     0     1     1     0     0
     1     0     1     2     1     0     2     1     2     2     1     0     2     5     1     2     1     0     0     0     0     0     0     0     0     0     0     0
     1     1     0     1     2     1     1     1     0     2     3     0     0     1     2     2     1     0     2     1     2     1     0     1     1     0     0     0
     1     2     3     2     2     1     4     1     0     0     0     1     0     0     1     3     0     3     0     2     0     0     0     0     0     0     0     0
     1     0     0     1     1     1     2     0     1     0     3     4     1     0     1     0     2     0     0     2     1     1     0     1     0     0     1     0
     2     3     3     4     0     1     2     1     2     3     0     0     1     1     2     4     0     0     1     2     0     1     0     0     0     0     0     0
     1     1     2     2     2     2     1     1     0     1     2     3     1     3     0     4     2     0     1     1     0     2     2     0     0     0     1     0
     0     0     2     3     1     0     1     2     2     2     0     1     2     1     2     1     3     0     1     2     1     2     0     4     1     0     0     1
     1     1     0     2     2     1     1     1     1     0     0     3     0     0     0     0     1     0     3     4     3     1     1     0     1     1     0     0
     1     2     1     1     3     2     1     2     1     0     0     2     2     3     0     1     5     3     3     1     2     4     1     0     1     0     1     0
     1     1     1     2     1     3     0     0     1     2     1     0     2     3     2     1     0     0     1     2     0     0     0     2     1     1     0     1
     0     3     1     5     1     0     3     4     0     1     2     2     2     0     2     1     2     2     5     1     2     1     3     1     0     1     0     0
     1     2     5     2     0     2     2     0     0     2     5     1     0     3     3     1     2     5     2     1     2     0     3     0     3     1     0     0
     3     2     1     2     3     3     2     3     0     3     1     0     2     2     1     0     2     0     1     2     1     0     1     2     2     2     1     1
     1     4     2     0     1     2     1     2     1     0     5     3     3     2     6     2     0     1     2     1     1     4     1     1     2     0     0     0
     2     1     2     6     1     0     2     3     3     1     3     1     1     4     2     1     3     2     1     2     4     2     0     3     3     2     0     2
     4     3     2     2     2     4     2     3     4     2     6     2     3     1     1     0     2     2     2     1     4     1     3     4     3     1     0     1
     2     4     1     2     6     5     4     2     3     6     2     2     6     2     9     2     1     3     3     3     2     2     0     1     3     1     3     0
     1     1     6     5     4     0     4     5     3     1     3     6     0     3     4     3     1     2     1     1     1     0     0     0     5     0     6     1
     2     5     4     6     6     5     4     4     2     6     5     5     2     3     1     2     6     3     7     3     1     4     3     5     1     6     4     6
     4     5     4     4     2     2     4     8     2     5     6     5     4     6    11     6     2     2     2     6     3     2     2     4     4     5     2     5
